trialN,EmoResp,ConfResp,EmoRT,ConfRT,trialSuccess,StimFile,MorphLevel,Indiv,SubID
1,0,NaN,0.438945200003218,NaN,1,SHINEd_m08_199_mask.tif,199,m08,998
2,1,NaN,0.437182400026359,NaN,1,SHINEd_f06_133_mask.tif,133,f06,998
3,0,NaN,0.627109900000505,NaN,1,SHINEd_m31_111_mask.tif,111,m31,998
4,0,NaN,0.29409520002082,NaN,1,SHINEd_f06_155_mask.tif,155,f06,998
5,1,NaN,0.356281799962744,NaN,1,SHINEd_m08_044_mask.tif,44,m08,998
6,0,NaN,0.424905700027011,NaN,1,SHINEd_m31_199_mask.tif,199,m31,998
7,1,NaN,0.467738599982113,NaN,1,SHINEd_m08_000_mask.tif,0,m08,998
8,0,NaN,0.413881899963599,NaN,1,SHINEd_m31_199_mask.tif,199,m31,998
9,1,NaN,0.297272399999201,NaN,1,SHINEd_f06_000_mask.tif,0,f06,998
10,1,NaN,0.457037699990906,NaN,1,SHINEd_m31_111_mask.tif,111,m31,998
11,0,NaN,0.397001500008628,NaN,1,SHINEd_f06_155_mask.tif,155,f06,998
12,0,NaN,1.02735310001299,NaN,1,SHINEd_f24_199_mask.tif,199,f24,998
13,0,NaN,0.296678100014105,NaN,1,SHINEd_f06_133_mask.tif,133,f06,998
14,1,NaN,0.439139400026761,NaN,1,SHINEd_f06_022_mask.tif,22,f06,998
15,0,NaN,0.400267200020608,NaN,1,SHINEd_f06_199_mask.tif,199,f06,998
16,1,NaN,0.655096700007562,NaN,1,SHINEd_m31_022_mask.tif,22,m31,998
17,0,NaN,0.378848300024401,NaN,1,SHINEd_m08_155_mask.tif,155,m08,998
18,0,NaN,0.245971600001212,NaN,1,SHINEd_m31_177_mask.tif,177,m31,998
19,1,NaN,0.310924499994144,NaN,1,SHINEd_f24_022_mask.tif,22,f24,998
20,0,NaN,1.15234650002094,NaN,1,SHINEd_m31_111_mask.tif,111,m31,998
21,0,NaN,0.496325999964029,NaN,1,SHINEd_m31_088_mask.tif,88,m31,998
22,1,NaN,1.25104629999259,NaN,1,SHINEd_f06_022_mask.tif,22,f06,998
23,0,NaN,1.04358669999056,NaN,1,SHINEd_f06_066_mask.tif,66,f06,998
24,1,NaN,0.729308599955402,NaN,1,SHINEd_f06_022_mask.tif,22,f06,998
25,1,NaN,0.362070099974517,NaN,1,SHINEd_f24_088_mask.tif,88,f24,998
26,0,NaN,0.513911899994127,NaN,1,SHINEd_m31_133_mask.tif,133,m31,998
27,1,NaN,0.337581800005864,NaN,1,SHINEd_f06_022_mask.tif,22,f06,998
28,0,NaN,0.288774499960709,NaN,1,SHINEd_f06_177_mask.tif,177,f06,998
29,1,NaN,0.638819899992086,NaN,1,SHINEd_f06_066_mask.tif,66,f06,998
30,1,NaN,0.328235899971332,NaN,1,SHINEd_m08_044_mask.tif,44,m08,998
31,1,NaN,0.185318400035612,NaN,1,SHINEd_m08_022_mask.tif,22,m08,998
32,0,NaN,0.301511600031517,NaN,1,SHINEd_f06_177_mask.tif,177,f06,998
33,0,NaN,0.21898180001881,NaN,1,SHINEd_f24_133_mask.tif,133,f24,998
34,1,NaN,0.138109599996824,NaN,1,SHINEd_m08_000_mask.tif,0,m08,998
35,0,NaN,0.392200600006618,NaN,1,SHINEd_m31_199_mask.tif,199,m31,998
36,1,NaN,0.219684000010602,NaN,1,SHINEd_f06_044_mask.tif,44,f06,998
37,1,NaN,0.386340199969709,NaN,1,SHINEd_f24_044_mask.tif,44,f24,998
38,0,NaN,0.32575579994591,NaN,1,SHINEd_f06_111_mask.tif,111,f06,998
39,1,NaN,0.441315000003669,NaN,1,SHINEd_f06_044_mask.tif,44,f06,998
40,1,NaN,0.270475100027397,NaN,1,SHINEd_f06_111_mask.tif,111,f06,998
41,1,NaN,0.300434200034942,NaN,1,SHINEd_m08_066_mask.tif,66,m08,998
42,1,NaN,0.587463999981992,NaN,1,SHINEd_m31_044_mask.tif,44,m31,998
43,0,NaN,0.369807800045237,NaN,1,SHINEd_m08_177_mask.tif,177,m08,998
44,1,NaN,0.513651499990374,NaN,1,SHINEd_m31_000_mask.tif,0,m31,998
45,1,NaN,0.431662799965125,NaN,1,SHINEd_f06_000_mask.tif,0,f06,998
46,0,NaN,0.288535400002729,NaN,1,SHINEd_m31_133_mask.tif,133,m31,998
47,0,NaN,0.339403599966317,NaN,1,SHINEd_f06_133_mask.tif,133,f06,998
48,0,NaN,0.28861460002372,NaN,1,SHINEd_f24_155_mask.tif,155,f24,998
49,0,NaN,0.239347199967597,NaN,1,SHINEd_m31_155_mask.tif,155,m31,998
50,0,NaN,0.692106900038198,NaN,1,SHINEd_f06_044_mask.tif,44,f06,998
51,NaN,NaN,NaN,NaN,NaN,SHINEd_m31_066_mask.tif,66,m31,998
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
